Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,Payment Date,,Amount Paid
REGN - Regeneration & Housing,FAB - Facilities,Alteration to existing emergency exit lighting.,,,1,,CRINV0006213,Steven Mercer Electrical Contractors Limited,,14/11/2024,,287.95
RESO - Resources,AAF - Finance,Direct Debit,,,1,,CRINV0006219,Allpay Ltd,,14/11/2024,,"1,364.32"
RESO - Resources,AAG - Management Resources,Printing costs,,,1,,CRINV0006252,Brands Inside Out Limited,,14/11/2024,,924.00
ENVS - Environmental Services,CAB - Other Environmental Services,Printing on vehicles,,,1,,CRINV0006256,Brands Inside Out Limited,,14/11/2024,,"1,041.00"
ENVS - Environmental Services,CAB - Other Environmental Services,Printing on vehicles,,,2,,CRINV0006256,Brands Inside Out Limited,,14/11/2024,,"1,041.00"
PLAN - Planning & Transportation,EAB - Engineers & Transportation,"Holgate Car Park, Great Harwood - Works",,,1,,CRINV0006277,Kays Highways Ltd,,14/11/2024,,"1,421.18"
REGN - Regeneration & Housing,FAB - Facilities,HBC Various sites - wall and fencing repairs,,,1,,CRINV0006287,Mercers Builders Ltd,,14/11/2024,,"6,216.00"
REGN - Regeneration & Housing,FAB - Facilities,HBC various sites - wall and fencing repairs,,,2,,CRINV0006287,Mercers Builders Ltd,,14/11/2024,,672.00
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Charges - 01.04.24 - 31.05.25,,,1,,CRINV0006289,"Water Plus Ltd - 6000325944 - Car Park, Union Rd",,14/11/2024,,226.02
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Fees,,,2,,CRINV0006289,"Water Plus Ltd - 6000325944 - Car Park, Union Rd",,14/11/2024,,204.00
RESO - Resources,AAF - Finance,6 Month extension to operating lease. 30.11.24 - 30.05.25,,,1,,CRINV0006290,Jcb Finance Ltd,,14/11/2024,,278.05
LEGL - Legal & Democratic,DAA - Democratic Services,Remembrance Sunday Band,,,1,,CRINV0006291,Trinity Stedfast Band,,14/11/2024,,250.00
RESO - Resources,AAF - Finance,6 month extension operating lease 03.12.24 - 03.06.25,,,1,,CRINV0006292,Jcb Finance Ltd,,14/11/2024,,736.63
RESO - Resources,AAF - Finance,1 month extension on lease 04.01.25 -04.02.25,,,1,,CRINV0006293,Jcb Finance Ltd,,14/11/2024,,318.02
ENVS - Environmental Services,CAD - Town Centre & Markets,HBC Contribution Halloween Sponsorship,,,1,,CRINV0006300,Scott Dawson Advertising Ltd,,14/11/2024,,600.00
ENVS - Environmental Services,CAD - Town Centre & Markets,Traffic management Accrington Pals Sculpture unveiling,,,1,,CRINV0006301,Kays Highways Ltd,,14/11/2024,,591.84
LEGL - Legal & Democratic,DAB - Human Resources,Accrington Station Information Point,,,1,,CRINV0006304,Atlas Uk,,14/11/2024,,"2,700.00"
ENVS - Environmental Services,CAF - CVMU,Parts,,,1,,CRINV0006321,Chorley Nissan,,14/11/2024,,328.25
REGN - Regeneration & Housing,FAD - Housing Advice,Advanced Rent - Housing and Homelessness,,,1,,CRINV0006337,Residential Real Estate Limited,,14/11/2024,,550.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Bulbs ,,,1,,CRPOI0006096,Lubbe & Sons (Bulbs) Ltd,,14/11/2024,,"3,609.60"
RESO - Resources,AAB - Benefits & Customer Contact,Stationary ,,,1,,CRPOI0006297,Paragon Customer Communications Limited,,14/11/2024,,284.57
REGN - Regeneration & Housing,FAD - Housing Advice,Agency staff - w/e 20.10.24 ,,,1,,CRINV0005862,Vivid Resourcing,,19/11/2024,,"1,701.64"
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 20.10.24 ,,,1,,CRINV0005868,Vivid Resourcing,,19/11/2024,,"2,160.00"
PLAN - Planning & Transportation,EAD - Planning,Staff w/c 14.10.24 I.C.,,,1,,CRINV0005879,Oyster Partnership,,19/11/2024,,"2,359.80"
ENVH - Environmental Health,BAB - Environmental Protection,Agency Staff Costs  W/E 18/10/2024,,,1,,CRINV0005882,Vivid Resourcing,,19/11/2024,,"2,220.00"
ENVS - Environmental Services,CAD - Town Centre & Markets,Acquisition of 24 Radios for town centre shops,,,1,,CRINV0005892,Blackburn With Darwen Borough Council,,19/11/2024,,"20,865.60"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 14.10.24 ,,,1,,CRINV0005910,Oyster Partnership,,19/11/2024,,868.61
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 14.10.24 ,,,1,,CRINV0005911,Oyster Partnership,,19/11/2024,,"1,372.80"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 07.10.24 ,,,1,,CRINV0005912,Oyster Partnership,,19/11/2024,,"1,389.02"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 14.10.24 ,,,1,,CRINV0005914,Oyster Partnership,,19/11/2024,,764.10
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Groundworks at rear of Milton Crescent Gt Hwd,,,1,,CRINV0005917,A Aspden Limited,,19/11/2024,,"2,160.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Staff WC 14.10.24 ,,,1,,CRINV0005924,Proman Supply Chain Ltd,,19/11/2024,,624.73
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp Staff  wc 14.10.24,,,1,,CRINV0005925,Proman Supply Chain Ltd,,19/11/2024,,532.44
ENVS - Environmental Services,CAF - CVMU,Vehicle parts,,,1,,CRINV0005930,Terberg Matec Uk,,19/11/2024,,551.15
ENVS - Environmental Services,CAF - CVMU,Service and Maintenance Contracts,,,1,,CRINV0005931,North West Trading Company Ltd,,19/11/2024,,809.40
ENVS - Environmental Services,CAF - CVMU,Steam Cleaner Maintenance,,,1,,CRINV0005937,North West Trading Company Ltd,,19/11/2024,,881.98
RESO - Resources,AAB - Benefits & Customer Contact,Two-days Consultancy Service,,,1,,CRINV0005940,LA Directories Ltd,,19/11/2024,,"2,694.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,UKSPF Business Support for Net Zero Transitions and Decarbonisation,,,1,,CRINV0005978,East Lancashire Chamber of Commerce,,19/11/2024,,"37,164.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,UKSPF  Commercialisation of Low Carbon Technology,,,1,,CRINV0005979,East Lancashire Chamber of Commerce,,19/11/2024,,"29,201.00"
RESO - Resources,AAF - Finance,40 Boxes copier paper,,,1,,CRINV0005980,Canon (Uk) Ltd,,19/11/2024,,880.80
RESO - Resources,AAD - ICT,Charges - 01.08.24 - 31.10.24,,,1,,CRINV0005998,Nominet Uk,,19/11/2024,,388.06
ENVS - Environmental Services,CAB - Other Environmental Services,Vehicle Hire - 24.10.24,,,1,,CRINV0006005,Stanley Brothers (Tippers) Ltd,,19/11/2024,,648.00
ENVS - Environmental Services,CAF - CVMU,Vehicle Maintenance parts,,,1,,CRINV0006034,R M Williams (Accrington) Ltd,,19/11/2024,,330.00
REGN - Regeneration & Housing,FAB - Facilities,Works at Acc Crem,,,1,,CRINV0006061,Pilkington Bros (Church) Ltd,,19/11/2024,,276.00
REGN - Regeneration & Housing,FAB - Facilities,"EICR Inspection of DB Boards at Broadway Offices, Ground floor and 2nd floorMissed form last inspection and require - re-inspection",,,1,,CRINV0006063,Calbarrie Compliance Services,,19/11/2024,,480.00
ENVS - Environmental Services,CAE - Waste Services,Agency staff - w/e 27.10.24,,,1,,CRINV0006087,Rapid Recruitment Ltd,,19/11/2024,,"1,508.71"
RESO - Resources,AAB - Benefits & Customer Contact,SLR Textiiles,,,1,,CRINV0006089,Stephensons Solicitors LLP,,19/11/2024,,"1,338.11"
RESO - Resources,AAB - Benefits & Customer Contact,SLR Textiles,,,2,,CRINV0006089,Stephensons Solicitors LLP,,19/11/2024,,431.83
PLAN - Planning & Transportation,EAB - Engineers & Transportation,bus shelter repairs,,,1,,CRINV0006091,Victoria Glass Joinery & Plumbing Ltd,,19/11/2024,,493.77
REGN - Regeneration & Housing,FAF - Strategic Housing,accomodation and support for homeless persons,,,1,,CRINV0006110,Stepping Stone Project,,19/11/2024,,"10,000.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,HPA2 costs,,,1,,CRINV0006119,Locata Housing Services Ltd,,19/11/2024,,"3,300.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Valuation Fees- September 2024,,,1,,CRINV0006122,CBRE Ltd,,19/11/2024,,"4,200.00"
PLAN - Planning & Transportation,EAA - Building Control,Agency Costs Week 1 21/10-25/10 ,,,1,,CRINV0006173,Confido Consult Ltd,,19/11/2024,,"3,626.10"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,,,1,,CRINV0006185,Mccallott Windows,,19/11/2024,,"4,956.89"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,,,1,,CRINV0006186,Rhea Projects,,19/11/2024,,"5,658.66"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,,,1,,CRINV0006200,Artisan Windows,,19/11/2024,,"2,425.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,,,1,,CRINV0006205,Rhea Projects,,19/11/2024,,"2,205.00"
ENVS - Environmental Services,CAD - Town Centre & Markets,Great Harwood Tenders,,,1,,CRINV0006302,Scott Dawson Advertising Ltd,,19/11/2024,,"33,600.00"
LEGL - Legal & Democratic,DAB - Human Resources,Catering - Sep-Nov 24,,,1,,CRINV0006351,S.R.S. Catering Ltd,,19/11/2024,,996.00
RESO - Resources,AAB - Benefits & Customer Contact,Temp staff W/E 3.11.24,,,1,,CRINV0006359,Eden Brown Limited,,19/11/2024,,"1,212.12"
LEGL - Legal & Democratic,DAB - Human Resources,Electrical work at 49-51 Blackburn Rd,,,1,,CRINV0006361,Steven Mercer Electrical Contractors Limited,,19/11/2024,,669.42
LEGL - Legal & Democratic,DAB - Human Resources,Room Dividers,,,1,,CRINV0006368,Bevlan Office Interiors Ltd,,19/11/2024,,600.00
PLAN - Planning & Transportation,EAA - Building Control,Agency staff - w/e 08.11.24 ,,,1,,CRINV0006379,Deekay Tech Recruitment Ltd,,19/11/2024,,"2,635.42"
ENVS - Environmental Services,CAA - Environmental Maintenance,Legal services Accrington Acre,,,1,,CRINV0006390,Womble Bond Dickinson (Uk) LLP,,19/11/2024,,"13,716.60"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Replacement of screen Acc Crem,,,1,,CRINV0006399,Obitus (Vivedia Ltd),,19/11/2024,,"1,453.56"
ENVS - Environmental Services,CAD - Town Centre & Markets,50% halloween grant,,,1,,CRINV0006403,My Happy Place Ltd,,19/11/2024,,"1,250.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Water and Wastewater Bill 03/10/2024 - 02/11/2024,,,1,,CRINV0006414,Water Plus - 4081821747 Woodlands Sports Pavillion,,19/11/2024,,700.93
ENVH - Environmental Health,BAB - Environmental Protection,Funeral costs,,,1,,CRINV0006419,Barton & Hallworth Funeral Services,,19/11/2024,,"1,860.00"
ENVS - Environmental Services,CAD - Town Centre & Markets,Installation of LED Panels,,,1,,CRINV0006443,Steven Mercer Electrical Contractors Limited,,19/11/2024,,372.00
ENVS - Environmental Services,CAD - Town Centre & Markets,Supply & Installation of sockets,,,1,,CRINV0006444,Steven Mercer Electrical Contractors Limited,,19/11/2024,,552.00
RESO - Resources,AAB - Benefits & Customer Contact,Housing Benefit Claims,,,1,,CRINV0006450,CIPFA Business Limited,,19/11/2024,,438.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Renewal R-Link Annual Daas Charge ,,,1,,CRPOI0005952,Reactec,,19/11/2024,,"2,646.00"
ENVS - Environmental Services,CAB - Other Environmental Services,Stationary Order ,,,1,,CRPOI0005962,Paragon Customer Communications Limited,,19/11/2024,,420.70
RESO - Resources,AAD - ICT,"4 x Samsung A14 Handsets 
1 x Samsung A14 Handset at £140.00 + vat + delivery (M Stewart)
1 x Samsung A14 Handset at £140.00 + vat + delivery (A Pendlebury)",,,1,,CRPOI0005974,Cloudcoco Limited,,19/11/2024,,"1,011.60"
RESO - Resources,AAD - ICT,"4 x Samsung A14 Handsets at £140.00 
1 x Samsung A14 Handset at £140.00 + vat + delivery (M Stewart)
1 x Samsung A14 Handset ",,,2,,CRPOI0005974,Cloudcoco Limited,,19/11/2024,,172.20
RESO - Resources,AAD - ICT,"4 x Samsung A14 Handsets 
1 x Samsung A14 Handset at £140.00 + vat + delivery (M Stewart)
1 x Samsung A14 Handset at £140.00 + vat + delivery (A Pendlebury)",,,3,,CRPOI0005974,Cloudcoco Limited,,19/11/2024,,172.20
RESO - Resources,AAD - ICT,2 X Samsung  A14 Handsets ,,,1,,CRPOI0005976,Cloudcoco Limited,,19/11/2024,,348.00
REGN - Regeneration & Housing,FAB - Facilities,Lightning Protection system,,,1,,CRPOI0006002,Premier Technical Services Group,,19/11/2024,,745.10
ENVS - Environmental Services,CAE - Waste Services,2 X 5120Himalayan Safety Boots ,,,1,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,105.14
ENVS - Environmental Services,CAE - Waste Services,2 X 5120Himalayan Safety Boots,,,2,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,105.14
ENVS - Environmental Services,CAE - Waste Services,2 X 5120Himalayan Safety Boots,,,3,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,105.14
ENVS - Environmental Services,CAE - Waste Services,4 X t Hi Vis Ballistic Trousers ,,,4,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,76.49
ENVS - Environmental Services,CAE - Waste Services,6 X Hi Vis Ballistic Trousers ,,,5,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,229.46
ENVS - Environmental Services,CAE - Waste Services,5 X  Supertouch Two Tone Sweatshirt ,,,6,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,77.94
ENVS - Environmental Services,CAE - Waste Services,3 X Supertouch Two Tone Sweatshirt ,,,7,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,46.76
ENVS - Environmental Services,CAE - Waste Services,50 X X5 Sumo X5 Gloves ,,,8,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,286.81
ENVS - Environmental Services,CAE - Waste Services,100 X X5Sumo X5 Gloves ,,,9,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,573.61
ENVS - Environmental Services,CAE - Waste Services,50 X X5 Sumo X5 Gloves Size 10 ,,,10,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,286.80
ENVS - Environmental Services,CAE - Waste Services,50 X FC Sumo Fully Covered Gloves Size 9 ,,,11,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,312.00
ENVS - Environmental Services,CAE - Waste Services,50 X FC Sumo Fully Covered Gloves Size 10 ,,,12,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,312.00
ENVS - Environmental Services,CAE - Waste Services,1 X Safety Wellington Boot Size 8 ,,,13,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,15.59
ENVS - Environmental Services,CAE - Waste Services,12 X Hard Hats ,,,14,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,50.40
ENVS - Environmental Services,CAE - Waste Services,12 X Hand Gel 500ml Pump Bottle ,,,15,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,42.48
ENVS - Environmental Services,CAE - Waste Services,24 X De-Icer ,,,16,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,57.31
ENVS - Environmental Services,CAE - Waste Services,12 X Sticky Label Remover ,,,17,,CRPOI0006022,"Bubbles, Brushes & Wiper Co Ltd",,19/11/2024,,99.65
ENVS - Environmental Services,CAC - Parks & Cemeteries,Provide topographical survey at four sites,,,1,,CRPOI0006024,Site Surveying Services Limited,,19/11/2024,,"1,440.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,25 X 1.5m Brown recycled plastic bench profiles ,,,1,,CRPOI0006025,Ark Plastics Ltd,,19/11/2024,,300.00
REGN - Regeneration & Housing,FAB - Facilities,Supply and install new floor guides on internal set of doors ,,,1,,CRPOI0006068,Automatic Door Company,,19/11/2024,,478.80
REGN - Regeneration & Housing,FAB - Facilities,Investigate fault,,,1,,CRINT0006437,Full Circuit Fire & Security Ltd,,21/11/2024,,252.60
RESO - Resources,AAF - Finance,Brr & RDG Nov 24,,,1,,CRINT0006478,"(DD) Department of Levelling Up, Housing & Comm...",,21/11/2024,,"161,413.00-"
RESO - Resources,AAF - Finance,BRR & RSG Central Share - Nov 24,,,2,,CRINT0006478,"(DD) Department of Levelling Up, Housing & Comm...",,21/11/2024,,"938,611.00"
RESO - Resources,AAF - Finance,BRR & RSG Top Up - Nov 24,,,3,,CRINT0006478,"(DD) Department of Levelling Up, Housing & Comm...",,21/11/2024,,"1,043.00-"
RESO - Resources,AAF - Finance,BRR & RSG TR Payments NOv 24,,,4,,CRINT0006478,"(DD) Department of Levelling Up, Housing & Comm...",,21/11/2024,,"79,698.00-"
RESO - Resources,AAF - Finance,BRR & RSG Surplus for 23-24 Nov 24,,,5,,CRINT0006478,"(DD) Department of Levelling Up, Housing & Comm...",,21/11/2024,,"222,951.00"
RESO - Resources,AAF - Finance,BRR & RSG Surplus 22-23 Nov 24,,,6,,CRINT0006478,"(DD) Department of Levelling Up, Housing & Comm...",,21/11/2024,,"152,184.00-"
ENVS - Environmental Services,CAF - CVMU,Additional Costs for adding Radar Reversing System,,,1,,CRINV0006011,Scarab Sweepers Limited,,21/11/2024,,"1,794.00"
ENVS - Environmental Services,CAF - CVMU,Professional Steam Cleaning of Vehicles,,,1,,CRINV0006033,Keep Em Clean,,21/11/2024,,262.50
ENVS - Environmental Services,CAF - CVMU,Vehicle parts,,,1,,CRINV0006046,Dennis Eagle Limited,,21/11/2024,,794.33
ENVS - Environmental Services,CAF - CVMU,Active XLS 1000L.  ,,,1,,CRINV0006050,Hope & Brown Ltd,,21/11/2024,,277.55
RESO - Resources,AAD - ICT,Charges for period 19/10/24 to 18/11/24,,,1,,CRINV0006075,EE Limited,,21/11/2024,,"3,111.18"
RESO - Resources,AAB - Benefits & Customer Contact,Disbursements,,,1,,CRINV0006078,Greenhalgh Kerr,,21/11/2024,,151.00
RESO - Resources,AAB - Benefits & Customer Contact,Professional Charges,,,2,,CRINV0006078,Greenhalgh Kerr,,21/11/2024,,300.00
RESO - Resources,AAB - Benefits & Customer Contact,Professional charges,,,1,,CRINV0006090,Stephensons Solicitors LLP,,21/11/2024,,600.00
RESO - Resources,AAD - ICT,Cloud CoCo Line Rentals Period   01/10/2024 - 31/10/2024,,,1,,CRINV0006372,Cloudcoco Limited,,21/11/2024,,"1,549.00"
LEGL - Legal & Democratic,DAA - Democratic Services,Remembrance sunday,,,1,,CRINV0006417,Accrington Pipe Band,,21/11/2024,,330.00
PLAN - Planning & Transportation,EAC - Green Infrastructure,Period: 14.10.24 to 13.11.24,,,1,,CRINV0006418,Water Plus - 4082156767 Waverledge Allotment,,21/11/2024,,451.83
LEGL - Legal & Democratic,DAA - Democratic Services,Remembrance Sunday,,,1,,CRINV0006421,Balderstone Brass Band,,21/11/2024,,250.00
REGN - Regeneration & Housing,FAB - Facilities,Service to lift,,,1,,CRINV0006445,H Breakell & Co (Blackburn) Limited,,21/11/2024,,469.68
REGN - Regeneration & Housing,FAB - Facilities,Period: 29.9.24 to 30.9.24 Bullough,,,1,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,67.40
REGN - Regeneration & Housing,FAB - Facilities,Period: Oct 24 Mercer Hall,,,2,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,55.01
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Acc Crem,,,3,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,32.53
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Acc Crem,,,4,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,312.70
REGN - Regeneration & Housing,FAB - Facilities,Oct 24- Acc Cem Mess,,,5,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,2.09
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Hag,,,6,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,78.99
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Clayton Civic,,,7,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,267.08
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Stables,,,8,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,41.90
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Willows Lane,,,9,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,11.15
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Lowerfold,,,10,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,43.16
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Willows Lane,,,11,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,591.31
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - ATH,,,12,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,"2,766.86"
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Cannon St,,,13,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,30.44
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Mercer Hall,,,14,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,"1,679.01"
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Acc Crem,,,15,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,575.27
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Acc Crem,,,16,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,"5,119.78"
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Acc Cem Mess,,,17,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,78.29
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - HAG,,,18,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,"1,867.63"
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Eagle St,,,19,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,8.98
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Wilsons,,,20,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,345.67
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Oakhill,,,21,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,66.47
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Willows Lane,,,22,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,681.72
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - CVMU,,,23,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,"1,844.27"
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Stables,,,24,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,790.01
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Rhyddings,,,25,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,321.46
REGN - Regeneration & Housing,FAB - Facilities,Oct 24 - Market hall,,,26,,CRINV0006457,"SEFE Energy - 10174064 Mercer Park, CLM",,21/11/2024,,"2,422.37"
ENVS - Environmental Services,CAA - Environmental Maintenance,Electric Oct 24 ,,,1,,CRINV0006464,Smartest Energy - 100011736903 ,,21/11/2024,,"1,037.69"
ENVS - Environmental Services,CAA - Environmental Maintenance,Electric 01.06.24 - 11.09.24.,,,1,,CRINV0006466,SSE - 8700244644 ,,21/11/2024,,820.05
REGN - Regeneration & Housing,FAB - Facilities,Works to propetry,,,1,,CRINV0006469,H & M Building & Joinery Ltd,,21/11/2024,,"8,335.00"
ENVS - Environmental Services,CAD - Town Centre & Markets,Accrington Christmas Lights switch on - Additional Security,,,1,,CRINV0006488,Scott Dawson Advertising Ltd,,21/11/2024,,"3,544.80"
RESO - Resources,AAF - Finance,RVBC Tariff due November 2024,,,1,,CRINV0006493,(DD ONLY) Ribble Valley Borough Council,,21/11/2024,,"403,261.00"
RESO - Resources,AAF - Finance,Postage 16.09.24,,,1,,CRINV0006507,Pitney Bowes Ltd,,21/11/2024,,15.60
RESO - Resources,AAF - Finance,Postage 16.11.24,,,2,,CRINV0006507,Pitney Bowes Ltd,,21/11/2024,,"11,953.24"
RESO - Resources,AAB - Benefits & Customer Contact,CTAX/Rating Online Publication subscriptions,,,1,,CRPOI0006079,IRRV,,21/11/2024,,290.00
REGN - Regeneration & Housing,FAB - Facilities,RedCARE Phase Out / BT Line Replacement ,,,1,,CRPOI0006312,Full Circuit Fire & Security Ltd,,21/11/2024,,418.32
REGN - Regeneration & Housing,FAB - Facilities,Electricity invoice,,,1,,CRINV0005108,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"6,094.01"
REGN - Regeneration & Housing,FAB - Facilities,"Site 1 02/08/2024 - 01/09/2024 Haworth
  Park",,,1,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,668.46
REGN - Regeneration & Housing,FAB - Facilities,"Site 2 01/08/2024 -
  01/09/2024 Crematorium Burnley Road",,,2,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,"1,859.19"
REGN - Regeneration & Housing,FAB - Facilities,"Site 3 01/08/2024 -
  31/08/2024 Service Building Great Harwood Ceme",,,3,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,123.21
REGN - Regeneration & Housing,FAB - Facilities,"Site 4 01/08/2024 -
  31/08/2024 Memorial Park Church Lane",,,4,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,236.39
REGN - Regeneration & Housing,FAB - Facilities,"Site 5 01/08/2024 -
  31/08/2024 Foxhill Bank Pavillion",,,5,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,942.67
REGN - Regeneration & Housing,FAB - Facilities,"Site 6 01/08/2024 -
  31/08/2024 Free Gardeners Bowling Green",,,6,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,25.94
REGN - Regeneration & Housing,FAB - Facilities,"Site 7 01/08/2024 -
  31/08/2024 Peel Park Bowling Kiosk",,,7,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,71.19
REGN - Regeneration & Housing,FAB - Facilities,"Site 8 01/08/2024 -
  31/08/2024 Feeder Pillar Rear of Accrington To",,,8,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,51.16
REGN - Regeneration & Housing,FAB - Facilities,"Site 9 01/08/2024 -
  31/08/2024 Bowls House Rhyddings Park",,,9,,CRINV0005216,EDF Energy - 9044031649 Consolidated Invoice,,26/11/2024,,68.62
