Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,Payment Date,,Amount Paid
ENVS - Environmental Services,CAC - Parks & Cemeteries,2  X M 8 X 48 Hex Head Screw ,,,6,,CRPOI0005627,Wicksteed Leisure Limited,,05/11/2024,,12.77
ENVS - Environmental Services,CAC - Parks & Cemeteries,Delivery,,,7,,CRPOI0005627,Wicksteed Leisure Limited,,05/11/2024,,32.45
ENVS - Environmental Services,CAC - Parks & Cemeteries,"Lovers walk - Approx. 35 lin. M in length
- Pull back breaches in exisiting stone wall on Lovers Walk footpath back to firm foundation average 1.2m high and set aside stone for re-use.
- Reconstruct line to level stone retaining wall, faced both sides a",,,1,,CRPOI0005631,John Wade Groundworks Ltd,,05/11/2024,,"20,612.40"
REGN - Regeneration & Housing,FAB - Facilities,"Supply and install new fall arrest safety brake 
Supply and install new RSD model RS1 to replace Door No 6",,,1,,CRPOI0005661,Roller Shutter Services Ltd,,05/11/2024,,"2,464.80"
REGN - Regeneration & Housing,FAB - Facilities,Supply and install new under sink heater and tap ,,,1,,CRPOI0005662,Pilkington Bros (Church) Ltd,,05/11/2024,,763.63
LEGL - Legal & Democratic,DAB - Human Resources,ATS Market Chamber Tote Bags ,,,1,,CRPOI0005688,Media Village,,05/11/2024,,"1,056.00"
REGN - Regeneration & Housing,FAB - Facilities,Supply and install new traffic Bollard,,,1,,CRPOI0005732,George Pearce & Sons Ltd,,05/11/2024,,"1,336.80"
ENVS - Environmental Services,CAE - Waste Services,1000 Litres Ad Blue ,,,1,,CRPOI0005805,J E Morten Ltd,,05/11/2024,,390.00
ENVS - Environmental Services,CAE - Waste Services,New IBC Container ,,,2,,CRPOI0005805,J E Morten Ltd,,05/11/2024,,180.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,To flail cemetery hedge from entrance to footpath,,,1,,CRPOI0006028,Grounds Gardens & Trees Ltd,,05/11/2024,,570.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,1,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,2,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,3,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,4,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,5,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,6,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,7,,CRINV0006044,HM Land Registry,,06/11/2024,,6.00
RESO - Resources,AAF - Finance,October Land Registry Fee,,,8,,CRINV0006044,HM Land Registry,,06/11/2024,,3.00
