Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,,Payment Date,,Amount Paid
ENVS - Environmental Services,CAC - Parks & Cemeteries,Water Woodlands Pav 03.11.24 - 02.12.24,,,1,,CRINV0006844,Water Plus - 4081821747 Woodlands Sports Pavillion,,,10/12/2024,,676.41
ENVS - Environmental Services,CAC - Parks & Cemeteries,Cleaning various sites,,,1,,CRINV0006845,ServiceMaster Clean Contract Services AAA,,,10/12/2024,,717.60
ENVS - Environmental Services,CAC - Parks & Cemeteries,Acc Cem Phase 2,,,1,,CRINV0006847,Rosslee Construction Ltd,,,10/12/2024,,"1,320.00"
RESO - Resources,AAB - Benefits & Customer Contact,Postage 24,,,1,,CRINV0006862,Critiqom,,,10/12/2024,,166.85
RESO - Resources,AAB - Benefits & Customer Contact,Postage Nov 24,,,2,,CRINV0006862,Critiqom,,,10/12/2024,,"2,322.87"
REGN - Regeneration & Housing,FAD - Housing Advice,Deposit Fee,,,1,,CRINV0006864,Sycamore Lettings Co Ltd,,,10/12/2024,,550.00
REGN - Regeneration & Housing,FAB - Facilities,Electricity Supply 01/11/2024 - 30/11/2024,,,1,,CRINV0006873,Crown Gas and Power Ltd - P002258 Ossy Civic Theat,,,10/12/2024,,822.42
REGN - Regeneration & Housing,FAB - Facilities,Gas Invoice 01/11/2024 - 30/11/2024,,,1,,CRINV0006875,Crown Gas and Power Ltd - L054813 Ossy Civic Theat,,,10/12/2024,,510.62
ENVS - Environmental Services,CAE - Waste Services,Larac Membership 50% Discount,,,1,,CRPOI0006397,Larac Ltd,,,10/12/2024,,267.00
REGN - Regeneration & Housing,FAB - Facilities,RedCARE Phase Out / BT Line Replacement ,,,1,,CRPOI0006433,Full Circuit Fire & Security Ltd,,,10/12/2024,,418.32
ENVS - Environmental Services,CAC - Parks & Cemeteries, To supply two rolls of galvanized weld mesh fence ,,,1,,CRPOI0006544,Tudor Environmental,,,10/12/2024,,237.48
ENVS - Environmental Services,CAC - Parks & Cemeteries,Rootball guying system ,,,2,,CRPOI0006544,Tudor Environmental,,,10/12/2024,,46.15
ENVS - Environmental Services,CAC - Parks & Cemeteries, Drive rod for above,,,3,,CRPOI0006544,Tudor Environmental,,,10/12/2024,,114.84
RESO - Resources,AAD - ICT,1 x TO SUPPLY AND INSTALL 1 No: CAT5e CABLE FOR THE BARRIER,,,1,,CRPOI0006618,T I S Ltd,,,10/12/2024,,840.00
REGN - Regeneration & Housing,FAB - Facilities,Install emergency lighting ,,,1,,CRPOI0006723,Steven Mercer Electrical Contractors Limited,,,10/12/2024,,547.80
ENVS - Environmental Services,CAC - Parks & Cemeteries,1 X Duo Disc rubber coated/drilled ,,,1,,CRPOI0006820,Sutcliffe Play Ltd,,,10/12/2024,,550.97
ENVS - Environmental Services,CAC - Parks & Cemeteries,4 X Socket head screw,,,2,,CRPOI0006820,Sutcliffe Play Ltd,,,10/12/2024,,9.17
ENVS - Environmental Services,CAC - Parks & Cemeteries,4 X Spin hole spacer ,,,3,,CRPOI0006820,Sutcliffe Play Ltd,,,10/12/2024,,27.31
ENVS - Environmental Services,CAC - Parks & Cemeteries,Delivery,,,4,,CRPOI0006820,Sutcliffe Play Ltd,,,10/12/2024,,58.74
RESO - Resources,AAF - Finance,LG Improve Financial Resilience Benchmarking Service 01/12/2024 - 30/11/2025,,,1,,CRPOI0006853,LocalGov Improve Ltd,,,10/12/2024,,"8,394.00"
ENVS - Environmental Services,CAE - Waste Services,"60,000 X Lavender colour sacks 

Made to 500 x 800 x 1000
Boxed in 400s in rolls of 50s 

To be printed as per sample supplied:
HYNDBURNBC
STREET CLEANSING WASTE 
TEL: 388111",,,1,,CRPOI0006854,Durasak Limited,,,10/12/2024,,"6,033.60"
REGN - Regeneration & Housing,FAB - Facilities,Supply and install new RCD isolators ,,,1,,CRPOI0006880,Steven Mercer Electrical Contractors Limited,,,10/12/2024,,"1,020.00"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Brookside Drone Scan,,,1,,CRINV0006460,Landscan UK,,,12/12/2024,,"2,150.00"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Topographical Survey,,,1,,CRINV0006491,Christians,,,12/12/2024,,810.00
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Night time inspections of lighting and reporting of faults,,,1,,CRINV0006498,Lighting And Building Services Ltd,,,12/12/2024,,420.00
RESO - Resources,AAB - Benefits & Customer Contact,Professional charges,,,1,,CRINV0006582,Greenhalgh Kerr,,,12/12/2024,,"1,050.00"
LEGL - Legal & Democratic,DAC - Legal,Legal Fees ,,,1,,CRINV0006712,Fields In Trust,,,12/12/2024,,"13,800.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services relating to Accrington Town Centre Regeneration,,,1,,CRINV0006740,Ma Cost Consulting Limited,,,12/12/2024,,"3,499.98"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services relating to Accrington Town Centre Regeneration,,,2,,CRINV0006740,Ma Cost Consulting Limited,,,12/12/2024,,"3,500.01"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Services relating to Accrington Town Centre Regeneration,,,3,,CRINV0006740,Ma Cost Consulting Limited,,,12/12/2024,,"3,500.01"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,,,1,,CRINV0006746,Level 4 Building & Maintenance,,,12/12/2024,,"1,700.00"
RESO - Resources,AAD - ICT,Internet and Telecomms line rental charges,,,1,,CRINV0006771,Cloudcoco Limited,,,12/12/2024,,"1,542.43"
RESO - Resources,AAB - Benefits & Customer Contact,Temp Staff 01.12.24. ,,,1,,CRINV0006804,Eden Brown Limited,,,12/12/2024,,"1,212.12"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Fees,,,1,,CRINV0006817,Bradshaw Advisary Ltd,,,12/12/2024,,"2,400.00"
REGN - Regeneration & Housing,FAB - Facilities,Call out CVMU,,,1,,CRINV0006833,Steven Mercer Electrical Contractors Limited,,,12/12/2024,,255.14
ENVS - Environmental Services,CAB - Other Environmental Services,Hire of 8 wheeler 18.11.24,,,1,,CRINV0006848,Stanley Brothers (Tippers) Ltd,,,12/12/2024,,648.00
RESO - Resources,AAG - Management Resources,Sleeve Sponsorship - Accrington Stanley Women FC,,,1,,CRINV0006856,Scott Dawson Advertising Ltd,,,12/12/2024,,"4,800.00"
REGN - Regeneration & Housing,FAF - Strategic Housing,Affordable Warmth Grant,,,1,,CRINV0006859,A G S Heating & Plumbing Ltd,,,12/12/2024,,"5,930.80"
ENVS - Environmental Services,CAA - Environmental Maintenance,SCAPE NCF E&W - Accrington Town Square - Payment 12,,,1,,CRINV0006865,Morgan Sindall Construction & Infrastructure Ltd,,,12/12/2024,,"127,541.09"
ENVS - Environmental Services,CAA - Environmental Maintenance,SCAPE NCF E&W - Accrington Town Square - Payment 12,,,2,,CRINV0006865,Morgan Sindall Construction & Infrastructure Ltd,,,12/12/2024,,"37,990.96"
ENVS - Environmental Services,CAA - Environmental Maintenance,SCAPE NCF E&W - Accrington Town Square - Payment 12,,,3,,CRINV0006865,Morgan Sindall Construction & Infrastructure Ltd,,,12/12/2024,,"105,831.95"
ENVS - Environmental Services,CAA - Environmental Maintenance,Professional Fees,,,1,,CRINV0006866,Bradshaw Advisary Ltd,,,12/12/2024,,"1,170.00"
ENVS - Environmental Services,CAD - Town Centre & Markets,Water and Wastewater Bill 06-Nov-2024 - 05-Dec-2024,,,1,,CRINV0006869,Water Plus - 4078336520 Public Conv Acc Market,,,12/12/2024,,481.62
REGN - Regeneration & Housing,FAD - Housing Advice,Accommodation  - 02.12.24 - 09/12/24 ,,,1,,CRINV0006882,Hill View (Private) Hotel,,,12/12/2024,,455.00
REGN - Regeneration & Housing,FAD - Housing Advice,Accommodation - 02/12 - 09/12 ,,,1,,CRINV0006886,Hill View (Private) Hotel,,,12/12/2024,,455.00
LEGL - Legal & Democratic,DAB - Human Resources,Hate Crime Video,,,1,,CRINV0006891,Scott Dawson Advertising Ltd,,,12/12/2024,,"1,680.00"
LEGL - Legal & Democratic,DAB - Human Resources,Enlighten additional leaflets,,,1,,CRINV0006892,Scott Dawson Advertising Ltd,,,12/12/2024,,"1,536.00"
LEGL - Legal & Democratic,DAB - Human Resources,Business cards and posters,,,1,,CRINV0006897,Ellison Printing Co.,,,12/12/2024,,404.40
LEGL - Legal & Democratic,DAA - Democratic Services,Temp staff,,,1,,CRINV0006905,Stacksteads Band,,,12/12/2024,,320.00
RESO - Resources,AAB - Benefits & Customer Contact,stationery Oct 24,,,1,,CRINV0006937,Critiqom,,,12/12/2024,,421.20
RESO - Resources,AAB - Benefits & Customer Contact,services Oct 24,,,1,,CRINV0006939,Critiqom,,,12/12/2024,,174.20
RESO - Resources,AAB - Benefits & Customer Contact,services Oct 24,,,2,,CRINV0006939,Critiqom,,,12/12/2024,,339.87
RESO - Resources,AAB - Benefits & Customer Contact,postage Oct 24,,,1,,CRINV0006940,Critiqom,,,12/12/2024,,"1,339.20"
RESO - Resources,AAB - Benefits & Customer Contact,postage Oct 24,,,2,,CRINV0006940,Critiqom,,,12/12/2024,,"3,066.28"
REGN - Regeneration & Housing,FAD - Housing Advice,Accommodation  11. December 2024 - 25. December 2024,,,1,,CRINV0006947,Hotel 99,,,12/12/2024,,"1,190.00"
REGN - Regeneration & Housing,FAB - Facilities,Cleaning of War Memorials and Cenotaphs,,,1,,CRPOI0006503,Lighting And Building Services Ltd,,,12/12/2024,,"5,190.00"
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006909,Firesec Compliance Ltd,,,12/12/2024,,546.00
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006911,Firesec Compliance Ltd,,,12/12/2024,,334.80
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006912,Firesec Compliance Ltd,,,12/12/2024,,334.80
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006917,Firesec Compliance Ltd,,,12/12/2024,,334.80
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006918,Firesec Compliance Ltd,,,12/12/2024,,546.00
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006919,Firesec Compliance Ltd,,,12/12/2024,,334.80
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006920,Firesec Compliance Ltd,,,12/12/2024,,334.80
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006921,Firesec Compliance Ltd,,,12/12/2024,,334.80
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006922,Firesec Compliance Ltd,,,12/12/2024,,334.80
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006924,Firesec Compliance Ltd,,,12/12/2024,,334.80
REGN - Regeneration & Housing,FAB - Facilities,Disabled Facilities Grant,,,1,,CRPOI0006933,P A Cookson Ltd,,,12/12/2024,,"4,620.00"
RESO - Resources,AAD - ICT,To supply new line at Wilson Sports Village,,,1,,CRPOI0006973,British Telecommunications Plc,,,12/12/2024,,458.40
RESO - Resources,AAF - Finance,Period: 20.12.24 to 19.3.25,,,1,,CRINV0006484,Siemens Financial Services Ltd,,,17/12/2024,,"3,700.00"
RESO - Resources,AAF - Finance,Period: 20.12.24 to 19.3.25,,,2,,CRINV0006484,Siemens Financial Services Ltd,,,17/12/2024,,200.00
RESO - Resources,AAF - Finance,Period: 20.12.24 to 19.3.25,,,3,,CRINV0006484,Siemens Financial Services Ltd,,,17/12/2024,,636.00
PLAN - Planning & Transportation,EAD - Planning,Agency Staff w/c 11/11/24,,,1,,CRINV0006499,Oyster Partnership,,,17/12/2024,,"2,325.60"
REGN - Regeneration & Housing,FAC - Haworth Art Gallery,Store Goods,,,1,,CRINV0006510,Pink Pig,,,17/12/2024,,265.68
ENVH - Environmental Health,BAA - Housing Standards,Agency Costs w/c 11/11/24 ,,,1,,CRINV0006513,Oyster Partnership,,,17/12/2024,,"1,388.40"
ENVH - Environmental Health,BAA - Housing Standards,Agency Costs w/c 11/11/24,,,1,,CRINV0006514,Oyster Partnership,,,17/12/2024,,"1,362.82"
ENVH - Environmental Health,BAA - Housing Standards,Agency Costs w/c 11/11/24,,,1,,CRINV0006515,Oyster Partnership,,,17/12/2024,,858.60
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Flooding Works,,,1,,CRINV0006529,Clear A Drain Ltd,,,17/12/2024,,"1,943.04"
PLAN - Planning & Transportation,EAD - Planning,Viability Assessment Fees,,,1,,CRINV0006531,CP Viability Limited,,,17/12/2024,,"2,520.00"
ENVS - Environmental Services,CAF - CVMU,Full service and oil change,,,1,,CRINV0006533,Balmers Garden Machinery,,,17/12/2024,,945.60
ENVS - Environmental Services,CAF - CVMU,Changed engine oil & Filter,,,1,,CRINV0006534,Balmers Garden Machinery,,,17/12/2024,,"1,119.59"
ENVS - Environmental Services,CAF - CVMU,Service & repairs,,,1,,CRINV0006535,Balmers Garden Machinery,,,17/12/2024,,"1,029.60"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Temp staff w/e 17.11.24,,,1,,CRINV0006542,Proman Supply Chain Ltd,,,17/12/2024,,636.84
REGN - Regeneration & Housing,FAD - Housing Advice,Out of hours cover Oct 24,,,1,,CRINV0006566,Maundy Relief,,,17/12/2024,,"1,240.00"
ENVH - Environmental Health,BAB - Environmental Protection,Temp staff 17.11.24 ,,,1,,CRINV0006568,Vivid Resourcing,,,17/12/2024,,365.71
ENVH - Environmental Health,BAB - Environmental Protection,Temp staff 17.11.24 ,,,1,,CRINV0006569,Vivid Resourcing,,,17/12/2024,,"2,220.00"
ENVS - Environmental Services,CAF - CVMU,Vehicle parts,,,1,,CRINV0006575,Terberg Matec Uk,,,17/12/2024,,"2,052.27"
ENVS - Environmental Services,CAF - CVMU,Parts and materials,,,1,,CRINV0006576,Terberg Matec Uk,,,17/12/2024,,364.68
PLAN - Planning & Transportation,EAD - Planning,Accrington Observer 22.11.24,,,1,,CRINV0006583,People Scout Limited,,,17/12/2024,,328.68
LEGL - Legal & Democratic,DAA - Democratic Services,Traffic management remembrance Parades,,,1,,CRINV0006584,Kays Highways Ltd,,,17/12/2024,,"4,652.64"
PLAN - Planning & Transportation,EAA - Building Control,Temp staff - W/E 15.11.24,,,1,,CRINV0006600,Confido Consult Ltd,,,17/12/2024,,"1,892.36"
ENVS - Environmental Services,CAA - Environmental Maintenance,Valuation fees Accrington Acre,,,1,,CRINV0006622,CBRE Ltd,,,17/12/2024,,"4,200.00"
PLAN - Planning & Transportation,EAB - Engineers & Transportation,"Clearance of trash screens, various locations",,,1,,CRINV0006634,Marchbridge Builders Ltd,,,17/12/2024,,511.20
LEGL - Legal & Democratic,DAB - Human Resources,Design and artwork,,,1,,CRINV0006647,Brands Inside Out Limited,,,17/12/2024,,504.00
LEGL - Legal & Democratic,DAB - Human Resources,Occ Health Referral,,,1,,CRINV0006659,Pam Wellbeing Ltd,,,17/12/2024,,109.77
LEGL - Legal & Democratic,DAB - Human Resources,Occ Health Referral,,,2,,CRINV0006659,Pam Wellbeing Ltd,,,17/12/2024,,114.95
LEGL - Legal & Democratic,DAB - Human Resources,Occ Health Referral,,,3,,CRINV0006659,Pam Wellbeing Ltd,,,17/12/2024,,112.36
ENVS - Environmental Services,CAC - Parks & Cemeteries,Agency Staff W/C 15/11/2024,,,1,,CRINV0006705,Proman Supply Chain Ltd,,,17/12/2024,,763.40
ENVH - Environmental Health,BAB - Environmental Protection,Security Maintainence,,,1,,CRINV0006739,J H Blakey & Sons (Security) Ltd,,,17/12/2024,,283.32
ENVS - Environmental Services,CAF - CVMU,Vehicle parts,,,1,,CRINV0006954,Rob Mercer,,,17/12/2024,,493.38
ENVS - Environmental Services,CAF - CVMU,Vehicle parts,,,2,,CRINV0006954,Rob Mercer,,,17/12/2024,,150.00
ENVS - Environmental Services,CAF - CVMU,Vehicle parts,,,1,,CRINV0006955,Rob Mercer,,,17/12/2024,,85.29
ENVS - Environmental Services,CAF - CVMU,Labour,,,2,,CRINV0006955,Rob Mercer,,,17/12/2024,,409.71
PLAN - Planning & Transportation,EAA - Building Control,Agency staff - w/e 06/12/24,,,1,,CRINV0006976,Deekay Tech Recruitment Ltd,,,17/12/2024,,"1,377.40"
ENVS - Environmental Services,CAD - Town Centre & Markets,Charges - 31.12.23 - 16.05.24,,,1,,CRINV0006989,E.On Next Energy - A-75A87992 - Stall 12 Peel St,,,17/12/2024,,300.01
RESO - Resources,AAB - Benefits & Customer Contact,Whinney Hill 13/12/24,,,1,,CRINV0007008,Cheval Social Management,,,17/12/2024,,"2,293.54"
RESO - Resources,AAB - Benefits & Customer Contact,Whinney Hill 13/12/24,,,1,,CRINV0007011,Ada Glossop Ltd,,,17/12/2024,,"1,430.20"
RESO - Resources,AAB - Benefits & Customer Contact,BRR VOA Returns July 24,,,1,,CRINV0007064,Capacitygrid,,,17/12/2024,,"10,200.00"
RESO - Resources,AAB - Benefits & Customer Contact,BRR VOA Returns Sept 24,,,1,,CRINV0007065,Capacitygrid,,,17/12/2024,,"1,248.00"
REGN - Regeneration & Housing,FAD - Housing Advice,Accommodation 12.12.24-16.12.24 ,,,1,,CRINV0007110,Hill View (Private) Hotel,,,17/12/2024,,780.00
REGN - Regeneration & Housing,FAD - Housing Advice,Accommodation 11.12.24-16.12.24,,,1,,CRINV0007111,Hill View (Private) Hotel,,,17/12/2024,,325.00
ENVH - Environmental Health,BAA - Housing Standards,Suns 25 ,,,1,,CRINV0007114,Chartered Institute of Housing,,,17/12/2024,,406.00
RESO - Resources,AAF - Finance,Wilson Field Leisure Centre Val 2,,,1,,CRINV0007120,Alliance Leisure Services Limited,,,17/12/2024,,"33,442.67"
RESO - Resources,AAB - Benefits & Customer Contact,"End of Year Services for Business Rates, Council Tax and Benefits.",,,1,,CRPOI0006539,Capita One Limited,,,17/12/2024,,"4,662.00"
RESO - Resources,AAB - Benefits & Customer Contact,"End of Year Services for Business Rates, Council Tax and Benefits.",,,2,,CRPOI0006539,Capita One Limited,,,17/12/2024,,"4,662.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,64 Desdemona bare rooted shrub roses ,,,1,,CRPOI0006540,David Austin Roses Ltd,,,17/12/2024,,"1,707.71"
ENVS - Environmental Services,CAC - Parks & Cemeteries,To provide and deliver 25 trees ,,,1,,CRPOI0006553,James Coles & Sons (Nurseries) Ltd,,,17/12/2024,,"3,528.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,To provide and deliver 1 x 3m Christmas Tree,,,2,,CRPOI0006553,James Coles & Sons (Nurseries) Ltd,,,17/12/2024,,432.00
RESO - Resources,AAD - ICT,1 x Apple MacBook Pro - 14.2`` - Apple M4 - extended service agreement - 3 years,,,1,,CRPOI0006611,Insight Direct (Uk) Ltd,,,17/12/2024,,732.59
RESO - Resources,AAD - ICT,1 x Apple MacBook Pro - 14.2`` - Apple M4extended service agreement - 3 years ,,,2,,CRPOI0006611,Insight Direct (Uk) Ltd,,,17/12/2024,,732.60
RESO - Resources,AAD - ICT,INSTALLATION OF FLOORBOX ,,,1,,CRPOI0006620,T I S Ltd,,,17/12/2024,,"2,274.00"
ENVS - Environmental Services,CAE - Waste Services,3 X Himalayan Safety Boots ,,,1,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,157.73
ENVS - Environmental Services,CAE - Waste Services,3 X Himalayan Safety Boots ,,,2,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,157.73
ENVS - Environmental Services,CAE - Waste Services,4 X 9 Portwest Hi Vis Ballistic Trousers ,,,3,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,152.99
ENVS - Environmental Services,CAE - Waste Services,100 X X5 Sumo X5 Gloves ,,,4,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,573.63
ENVS - Environmental Services,CAE - Waste Services,50 X X5 Sumo X5 Gloves ,,,5,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,286.82
ENVS - Environmental Services,CAE - Waste Services,6 X Portwest Hi Vis Polo T-shirt ,,,6,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,71.92
ENVS - Environmental Services,CAE - Waste Services,6 X Portwest Hi Vis Polo T-shirt ,,,7,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,71.92
ENVS - Environmental Services,CAE - Waste Services,2 X  Warrior Memphis Hi Vis Bomber Jacket ,,,8,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,56.88
ENVS - Environmental Services,CAE - Waste Services,10 X Disposable Delight PF Vinyl Gloves ,,,9,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,34.22
ENVS - Environmental Services,CAE - Waste Services,10 X Disposable Delight PF Vinyl Gloves ,,,10,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,34.20
ENVS - Environmental Services,CAE - Waste Services,6 X Snow Cleats Size S ,,,11,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,39.52
ENVS - Environmental Services,CAE - Waste Services,6 X Snow Cleats Size M ,,,12,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,39.52
ENVS - Environmental Services,CAE - Waste Services,10 X Snow Cleats Size L ,,,13,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,65.88
ENVS - Environmental Services,CAE - Waste Services,20 X Snow Cleats Size XL ,,,14,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,131.75
ENVS - Environmental Services,CAE - Waste Services,4 X Snow Cleats Size XXL ,,,15,,CRPOI0006640,"Bubbles, Brushes & Wiper Co Ltd",,,17/12/2024,,26.26
RESO - Resources,AAD - ICT,Net2 Access Control Door ,,,1,,CRPOI0006692,Auto Time Systems Northern,,,17/12/2024,,"1,973.40"
REGN - Regeneration & Housing,FAB - Facilities,"PPM - Annual Fire Risk  Assessments for all Hyndburn BC operational, commercial, leisure and parks buildings",,,1,,CRPOI0006916,Firesec Compliance Ltd,,,17/12/2024,,334.80
ENVS - Environmental Services,CAC - Parks & Cemeteries,"Design, consultation and contract administration services ",,,1,,CRPOI0007029,Proffitts Investing In Communities,,,17/12/2024,,"14,370.80"
ENVS - Environmental Services,CAB - Other Environmental Services, HVO Fuel,,,1,,CRPOI0007033,Certas Energy,,,17/12/2024,,"30,956.35"
REGN - Regeneration & Housing,FAB - Facilities,Site 1 23/10/2024 - 01/12/2024 Haworth  Park,,,1,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"1,235.61"
REGN - Regeneration & Housing,FAB - Facilities,"Site 2 02/11/2024 -
  01/12/2024 Crematorium Burnley Road",,,2,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"2,357.07"
REGN - Regeneration & Housing,FAB - Facilities,"Site 3 19/10/2024 -
  31/10/2024 Service Building Great Harwood Ceme",,,3,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,74.68
REGN - Regeneration & Housing,FAB - Facilities,"Site 3 01/11/2024 -
  01/12/2024 Service Building Great Harwood Ceme",,,4,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,199.73
REGN - Regeneration & Housing,FAB - Facilities,"Site 4 01/11/2024 -
  30/11/2024 Memorial Park Church Lane",,,5,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,257.08
REGN - Regeneration & Housing,FAB - Facilities,"01/10/2024 -
  31/10/2024 Vehicle Maintenance Depot",,,6,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"3,140.81"
REGN - Regeneration & Housing,FAB - Facilities,"01/11/2024 -
  30/11/2024 Vehicle Maintenance Depot",,,7,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"3,525.65"
REGN - Regeneration & Housing,FAB - Facilities,"Site 5 01/11/2024 -
  30/11/2024 Foxhill Bank Pavillion",,,8,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,437.77
REGN - Regeneration & Housing,FAB - Facilities,"Site 6 19/10/2024 -
  31/10/2024 Free Gardeners Bowling Green",,,9,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,11.55
REGN - Regeneration & Housing,FAB - Facilities,"Site 6 01/11/2024 -
  01/12/2024 Free Gardeners Bowling Green",,,10,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,29.53
REGN - Regeneration & Housing,FAB - Facilities,"01/10/2024 -
  31/10/2024 HYNDBURN LEISURE CENTRE",,,11,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"62,940.87-"
REGN - Regeneration & Housing,FAB - Facilities,"01/10/2024 -
  31/10/2024 HYNDBURN LEISURE CENTRE",,,12,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,"62,940.87"
REGN - Regeneration & Housing,FAB - Facilities,"Site 7 01/11/2024 -
  30/11/2024 Peel Park Bowling Kiosk",,,13,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,53.21
REGN - Regeneration & Housing,FAB - Facilities,"Site 8 01/11/2024 -
  30/11/2024 Feeder Pillar Rear of Accrington To",,,14,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,58.47
REGN - Regeneration & Housing,FAB - Facilities,"Site 9 01/11/2024 -
  30/11/2024 Bowls House Rhyddings Park",,,15,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,53.92
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/03/2023 -
  31/03/2023 20 Environmental Health Offices",,,16,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,22.91
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/04/2023 -
  30/04/2023 20 Environmental Health Offices",,,17,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,25.89
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/05/2023 -
  01/06/2023 20 Environmental Health Offices",,,18,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,650.23
REGN - Regeneration & Housing,FAB - Facilities,"Site 11 01/08/2023 -
  31/08/2023 20 Environmental Health Offices",,,19,,CRINT0007155,EDF Energy - 9044031649 Consolidated Invoice,,,19/12/2024,,592.83
