Department Area,Service Area,Description,,,Line,,HBC Ref No.,Name:  ,,,Payment Date,,Amount Paid
LEGL - Legal & Democratic,DAA - Democratic Services,PA System,,,1,,CRINV0006420,International Music Event Production,,,05/12/2024,,282.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Vehicle Parts,,,1,,CRINV0006489,Dick Leigh LLP,,,05/12/2024,,920.57
PLAN - Planning & Transportation,EAD - Planning,Heritage services 1.7.24 - 30.9.24,,,1,,CRINV0006656,Blackburn With Darwen Borough Council,,,05/12/2024,,"1,895.00"
RESO - Resources,AAF - Finance,Wilsons - Valuation 1,,,1,,CRINV0006668,Alliance Leisure Services Limited,,,05/12/2024,,"29,361.76"
ENVS - Environmental Services,CAF - CVMU,Period: 27.10.24 to 26.11.24,,,1,,CRINV0006673,Water Plus - 4206400451 CVMU,,,05/12/2024,,408.53
PLAN - Planning & Transportation,EAC - Green Infrastructure,Invoice 2 of 4 - Bullough,,,1,,CRINV0006722,Proffitts Investing In Communities,,,05/12/2024,,"1,650.00"
RESO - Resources,AAF - Finance,November Land Registry Fee,,,1,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,2,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,3,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,4,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,5,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,6,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,7,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,8,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,9,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,10,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,11,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,12,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,13,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,14,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,15,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,16,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,17,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,18,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,19,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,20,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,21,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,22,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,23,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,24,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,25,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,26,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,27,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,28,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,29,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,30,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,31,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,32,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,33,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,34,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,35,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,36,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,37,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,38,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,39,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,40,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,41,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,42,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,43,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,44,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,45,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,46,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,47,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,48,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,49,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,50,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,51,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,52,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,53,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,54,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,55,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,56,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,57,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,58,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,59,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,60,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,61,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,62,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,63,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,64,,CRINV0006725,HM Land Registry,,,05/12/2024,,6.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,65,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,66,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,67,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,68,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,69,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,70,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,71,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,72,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,73,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,74,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,75,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,76,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,77,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,78,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,79,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,80,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,81,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,82,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,83,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
RESO - Resources,AAF - Finance,November Land Registry Fee,,,84,,CRINV0006725,HM Land Registry,,,05/12/2024,,3.00
