,,,,,,
Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Accrington Crematorium,Repair & Maint Cremator,MARCH - EMISSIONS TEST,B000024097/28418,Facultatieve Technologies,8 Jun 2023,"2,761.00"
Hyndburn Cemeteries,New Seats,MEMORIAL BENCHES,B000024097/54326,Ark Plastics Ltd,8 Jun 2023,930.00
Hyndburn Cemeteries,General Grounds Maintenance,REMOVAL OF SPOIL,B000024097/68576,Tt Grab Hire,8 Jun 2023,240.00
Hyndburn Cemeteries,New Seats,MEMORIAL TREES,B000024097/7128,Park Lane Plants Ltd,8 Jun 2023,260.00
Accrington Crematorium,Medical Referee Fees,MED REFS AUTH CHARGES,B000024097/7171,Peel House Medical Practice,8 Jun 2023,"4,832.00"
Accrington Crematorium,Urns & Caskets,OAK ASHES CASKETS,B000024097/9520,Luke Howgate & Son Ltd,8 Jun 2023,461.50
Leisure In Hyndburn,Asset Maint R&M,ACC TOWN HALL FIRE ALARM REMEMDIAL WORKS AND TEST,B000024098/24998,Full Circuit Fire & Security Ltd,8 Jun 2023,699.02
Accrington Crematorium,Security System Maintenance,CALLOUTS MARCH 2023 ACC CREM,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,263.12
Accrington Crematorium,Security System Maintenance,CALLOUTS MAY 23 ACC CREM,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,98.67
Corporate Property,Security System Maintenance,CALLOUTS MARCH 2023 UNIT 15 PEEL ST,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,23.00
Corporate Property,Security System Maintenance,CALLOUTS MARCH 2023 UNIT 18 PEEL ST,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,23.00
Corporate Property,Security System Maintenance,CALLOUTS MARCH 2023 UNIT 19 PEEL ST,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,23.00
Corporate Property,Security System Maintenance,CALLOUTS MAY 23 UNIT 18 PEEL ST,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,23.00
Corporate Property,Security System Maintenance,CALLOUTS MAY 23 UNIT 19 PEEL ST,B000024098/44845,Keyplus Security Ltd,8 Jun 2023,23.00
