Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
RESO - Resources,AAF - Finance,Precept Sept 24,3,CRINV0004960,Lancashire County Council (Direct Debit Payments),12/09/2024,"211,187.00"
RESO - Resources,AAF - Finance,Surplus 23/.24,4,CRINV0004960,Lancashire County Council (Direct Debit Payments),12/09/2024,"15,923.00"
RESO - Resources,AAF - Finance,Precept Sept 24,5,CRINV0004960,Lancashire County Council (Direct Debit Payments),12/09/2024,"187,211.00"
RESO - Resources,AAF - Finance,Defecit 23/24,6,CRINV0004960,Lancashire County Council (Direct Debit Payments),12/09/2024,"5,559.00-"
RESO - Resources,AAF - Finance,Precept 23/24,7,CRINV0004960,Lancashire County Council (Direct Debit Payments),12/09/2024,"23,465.00"
RESO - Resources,AAF - Finance,Surplus 23/24,8,CRINV0004960,Lancashire County Council (Direct Debit Payments),12/09/2024,"1,769.00"
RESO - Resources,AAF - Finance,Precept- Sept 24,9,CRINV0004960,Lancashire County Council (Direct Debit Payments),12/09/2024,"581,982.00"
RESO - Resources,AAF - Finance,Defecit 23/24,10,CRINV0004960,Lancashire County Council (Direct Debit Payments),12/09/2024,"16,989.00-"
RESO - Resources,AAF - Finance,Monthly charges,1,CRINV0004963,Lloyds Bank Cardnet,12/09/2024,"2,195.98"
REGN - Regeneration & Housing,FAF - Strategic Housing,Disabled Facilities Grant,1,CRPOI0004806,Stannah Lift Services Limited,12/09/2024,"4,163.00"
ENVH - Environmental Health,BAA - Housing Standards,Staff 18.08.24. ,1,CRINV0004501,G2 Recruitment Solutions,17/09/2024,"2,237.71"
ENVH - Environmental Health,BAA - Housing Standards,Staff. W/C 12.08.24,1,CRINV0004506,Oyster Partnership,17/09/2024,688.50
ENVH - Environmental Health,BAA - Housing Standards,Temp staff w/e 12.8.24,1,CRINV0004510,Oyster Partnership,17/09/2024,764.40
ENVH - Environmental Health,BAA - Housing Standards,Temp staff w/e 12.7.24,1,CRINV0004511,Oyster Partnership,17/09/2024,"1,583.71"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Accrington Pals Cemetery,1,CRINV0004522,John Wade Groundworks Ltd,17/09/2024,"25,050.91"
ENVS - Environmental Services,CAF - CVMU,Refuse Vehicle Steam Cleaning,1,CRINV0004534,Keep Em Clean,17/09/2024,262.50
LEGL - Legal & Democratic,DAG - Elections,Postal Vote delivery and fees,1,CRINV0004540,Royal Mail Group Ltd,17/09/2024,"1,335.96"
REGN - Regeneration & Housing,FAB - Facilities,Scaitcliffe House retesting,1,CRINV0004562,Highwire Ltd,17/09/2024,"1,290.00"
RESO - Resources,AAF - Finance,Lease Rental ,1,CRINV0004573,Siemens Financial Services Ltd,17/09/2024,"3,700.00"
RESO - Resources,AAF - Finance,Lease Rental ,2,CRINV0004573,Siemens Financial Services Ltd,17/09/2024,200.00
RESO - Resources,AAF - Finance,Lease Rental,3,CRINV0004573,Siemens Financial Services Ltd,17/09/2024,600.00
RESO - Resources,AAF - Finance,Charges: 22.5.24 to 21.8.24,1,CRINV0004578,Canon (Uk) Ltd,17/09/2024,382.87
ENVS - Environmental Services,CAF - CVMU,Vehicle Parts,1,CRINV0004580,Dennis Eagle Limited,17/09/2024,965.76
ENVS - Environmental Services,CAF - CVMU,Materials,1,CRINV0004597,Wurth Uk Ltd,17/09/2024,313.19
ENVS - Environmental Services,CAF - CVMU,Parts,1,CRINV0004598,Lancashire Leyland Daf Ltd,17/09/2024,332.51
RESO - Resources,AAB - Benefits & Customer Contact,Support & Mtce - 25.9.24 to 24.9.25,1,CRINV0004623,Liquid Voice Systems Limited,17/09/2024,"2,956.27"
PLAN - Planning & Transportation,EAC - Green Infrastructure,Consultancy - April - July 2024,1,CRINV0004643,Footprint Forestry,17/09/2024,"2,189.47"
ENVS - Environmental Services,CAC - Parks & Cemeteries,1 months service charge,1,CRINV0004671,Trakm8 Holdings Plc,17/09/2024,133.40
ENVS - Environmental Services,CAC - Parks & Cemeteries,1 months service charge,3,CRINV0004671,Trakm8 Holdings Plc,17/09/2024,40.02
ENVS - Environmental Services,CAC - Parks & Cemeteries,1 months service charge,4,CRINV0004671,Trakm8 Holdings Plc,17/09/2024,40.02
ENVS - Environmental Services,CAC - Parks & Cemeteries,1 months service charge,7,CRINV0004671,Trakm8 Holdings Plc,17/09/2024,13.34
