Department Area,Service Area,Description,Line,HBC Ref No.,Name:  ,Payment Date,Amount Paid
RESO - Resources,AAB - Benefits & Customer Contact,Debt Collection,1,CRINV0004819,Marston (Holdings) Ltd,24/09/2024,"1,145.41"
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/c 19.08.24 ,1,CRINV0004831,Oyster Partnership,24/09/2024,670.80
ENVH - Environmental Health,BAA - Housing Standards,Agency staff - w/e 25.08.24 ,1,CRINV0004836,G2 Recruitment Solutions,24/09/2024,"2,437.28"
ENVS - Environmental Services,CAB - Other Environmental Services,Service charges - 1 month,1,CRINV0004866,Trakm8 Holdings Plc,24/09/2024,133.40
ENVS - Environmental Services,CAB - Other Environmental Services,Service charges - 1 month,2,CRINV0004866,Trakm8 Holdings Plc,24/09/2024,40.02
ENVS - Environmental Services,CAB - Other Environmental Services,Service charges - 1 month,3,CRINV0004866,Trakm8 Holdings Plc,24/09/2024,40.02
ENVS - Environmental Services,CAB - Other Environmental Services,Service charges -1 month,4,CRINV0004866,Trakm8 Holdings Plc,24/09/2024,13.34
ENVS - Environmental Services,CAB - Other Environmental Services,Service charges - 1 month,5,CRINV0004866,Trakm8 Holdings Plc,24/09/2024,26.68
ENVS - Environmental Services,CAB - Other Environmental Services,Service charges -1 month,6,CRINV0004866,Trakm8 Holdings Plc,24/09/2024,13.34
ENVS - Environmental Services,CAB - Other Environmental Services,Service charges - 1 month,7,CRINV0004866,Trakm8 Holdings Plc,24/09/2024,13.34
ENVS - Environmental Services,CAB - Other Environmental Services,Service charges - 1 month,8,CRINV0004866,Trakm8 Holdings Plc,24/09/2024,13.34
ENVS - Environmental Services,CAB - Other Environmental Services,Service charges - 1 month,9,CRINV0004866,Trakm8 Holdings Plc,24/09/2024,13.34
ENVS - Environmental Services,CAB - Other Environmental Services,Service charges - 1 month,10,CRINV0004866,Trakm8 Holdings Plc,24/09/2024,13.34
REGN - Regeneration & Housing,FAB - Facilities,Call out`s at King Georges,1,CRINV0004874,Keyplus Security Ltd,24/09/2024,277.12
REGN - Regeneration & Housing,FAB - Facilities,Alarm Response August 2024 and Key Holding service (annual),1,CRINV0004885,Keyplus Security Ltd,24/09/2024,452.09
REGN - Regeneration & Housing,FAB - Facilities,Key Holding annually - Oakhill Bandstand,1,CRINV0004887,Keyplus Security Ltd,24/09/2024,373.15
REGN - Regeneration & Housing,FAB - Facilities,Key Holding annually Oak Hill Tennis Pavilion,1,CRINV0004888,Keyplus Security Ltd,24/09/2024,373.15
ENVS - Environmental Services,CAC - Parks & Cemeteries,Monthly Doc Charges,1,CRINV0004891,Minster Cleaning Services,24/09/2024,"1,478.22"
RESO - Resources,AAB - Benefits & Customer Contact,Bailiff Costs,1,CRINV0004909,Marston (Holdings) Ltd,24/09/2024,"3,500.30"
RESO - Resources,AAB - Benefits & Customer Contact,Bailiff Costs,1,CRINV0004911,Marston (Holdings) Ltd,24/09/2024,263.66
ENVS - Environmental Services,CAF - CVMU,Rental Charges 3.9.24 TO 3.9.25,1,CRINV0004942,Specialist Fleet Services Ltd,24/09/2024,"65,644.40"
ENVS - Environmental Services,CAF - CVMU,Rental Charges: 3.9.24 to 2.9.25,2,CRINV0004942,Specialist Fleet Services Ltd,24/09/2024,"3,425.20"
ENVS - Environmental Services,CAF - CVMU,Rental Charges: 3.9.24 to 2.9.25,1,CRINV0004943,Specialist Fleet Services Ltd,24/09/2024,"65,644.40"
ENVS - Environmental Services,CAF - CVMU,Rental Charges: 3.9.24 to 2.9.25,2,CRINV0004943,Specialist Fleet Services Ltd,24/09/2024,"3,425.20"
ENVS - Environmental Services,CAF - CVMU,Rental Charges: 3.9.24 to 2.9.25,1,CRINV0004944,Specialist Fleet Services Ltd,24/09/2024,"65,644.40"
ENVS - Environmental Services,CAF - CVMU,Rental Charges: 3.9.24 to 2.9.25,2,CRINV0004944,Specialist Fleet Services Ltd,24/09/2024,"3,425.20"
ENVS - Environmental Services,CAB - Other Environmental Services,Kennelling charges - Aug 24,1,CRINV0004953,Aspen Valley Boarding Kennels & Cattery,24/09/2024,"2,495.80"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Clearance of windblown trees,1,CRINV0004955,Northern Forestry & Arb,24/09/2024,"3,060.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Removal of broken Tree Limb,1,CRINV0004958,Northern Forestry & Arb,24/09/2024,300.00
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 08.09.24,1,CRINV0004970,Macdonald & Company,24/09/2024,824.10
PLAN - Planning & Transportation,EAD - Planning,Agency staff - w/e 08.09.24,2,CRINV0004970,Macdonald & Company,24/09/2024,824.10
ENVS - Environmental Services,CAA - Environmental Maintenance,Provision of legal services,1,CRINV0005048,Womble Bond Dickinson (Uk) LLP,24/09/2024,"4,464.21"
ENVS - Environmental Services,CAA - Environmental Maintenance,Provision of legal services,2,CRINV0005048,Womble Bond Dickinson (Uk) LLP,24/09/2024,"4,464.20"
ENVS - Environmental Services,CAA - Environmental Maintenance,Provision of legal services,3,CRINV0005048,Womble Bond Dickinson (Uk) LLP,24/09/2024,"4,464.19"
PLAN - Planning & Transportation,EAD - Planning,Temp Staff w/e 18/08/24 & 25/08/24 VVS,1,CRINV0005051,Vivid Resourcing,24/09/2024,"3,780.00"
ENVS - Environmental Services,CAF - CVMU,Vehicle repairs and call outs,1,CRINV0005055,Rossendale Vulcanising (Sales Ltd),24/09/2024,"8,190.00"
ENVS - Environmental Services,CAA - Environmental Maintenance,Period: 6.8.24 to 31.8.24,1,CRINV0005057,E.On Next Energy - A-54DE8BBA,24/09/2024,364.19
ENVS - Environmental Services,CAF - CVMU,Supplementary cleaning Sept 24,1,CRINV0005080,ServiceMaster Clean Contract Services AAA,24/09/2024,967.44
PLAN - Planning & Transportation,EAC - Green Infrastructure,Emergency tree works Plantation Road,1,CRINV0005091,Roy Cattermole (Tree Surgeon),24/09/2024,300.00
REGN - Regeneration & Housing,FAB - Facilities,"HSL Water Compliance - Monthly Monitoring
  August 2024",1,CRINV0005099,HSL Compliance,24/09/2024,43.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,2,CRINV0005099,HSL Compliance,24/09/2024,43.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,3,CRINV0005099,HSL Compliance,24/09/2024,42.00
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,4,CRINV0005099,HSL Compliance,24/09/2024,99.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,5,CRINV0005099,HSL Compliance,24/09/2024,62.40
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,6,CRINV0005099,HSL Compliance,24/09/2024,78.00
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,7,CRINV0005099,HSL Compliance,24/09/2024,34.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,8,CRINV0005099,HSL Compliance,24/09/2024,43.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,9,CRINV0005099,HSL Compliance,24/09/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,10,CRINV0005099,HSL Compliance,24/09/2024,50.40
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,11,CRINV0005099,HSL Compliance,24/09/2024,33.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,12,CRINV0005099,HSL Compliance,24/09/2024,31.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,13,CRINV0005099,HSL Compliance,24/09/2024,33.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,14,CRINV0005099,HSL Compliance,24/09/2024,34.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,15,CRINV0005099,HSL Compliance,24/09/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,16,CRINV0005099,HSL Compliance,24/09/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,17,CRINV0005099,HSL Compliance,24/09/2024,39.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,18,CRINV0005099,HSL Compliance,24/09/2024,33.60
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,19,CRINV0005099,HSL Compliance,24/09/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,20,CRINV0005099,HSL Compliance,24/09/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,21,CRINV0005099,HSL Compliance,24/09/2024,46.80
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,22,CRINV0005099,HSL Compliance,24/09/2024,37.20
REGN - Regeneration & Housing,FAB - Facilities,HSL Water Compliance - Monthly Monitoring August 2024,23,CRINV0005099,HSL Compliance,24/09/2024,76.80
PLAN - Planning & Transportation,EAD - Planning,Agency Staff  - W/E 15/09/24,1,CRINV0005122,Macdonald & Company,24/09/2024,"1,656.40"
RESO - Resources,AAB - Benefits & Customer Contact,Virtual 24.098.24 Supported Accomodation forum,1,CRINV0005131,IRRV,24/09/2024,594.00
ENVS - Environmental Services,CAE - Waste Services,Temp staff refuse collection,1,CRINV0005148,Rapid Recruitment Ltd,24/09/2024,"2,394.38"
ENVS - Environmental Services,CAF - CVMU,Logo`s,1,CRINV0005162,McCormack & Brown,24/09/2024,294.00
ENVS - Environmental Services,CAC - Parks & Cemeteries,Provide first aid and town cryer booking for Memorial Park event on 18th August,1,CRPOI0004728,The Prospects Foundation,24/09/2024,342.00
RESO - Resources,AAB - Benefits & Customer Contact,Access to the Benefit Directory,1,CRPOI0004869,LA Directories Ltd,24/09/2024,"1,854.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,3 X Safe use of pesticides (PA1) ,1,CRPOI0005031,Myerscough College,24/09/2024,255.00
ENVS - Environmental Services,CAF - CVMU,Parts,1,CRINV0004718,Lancashire Leyland Daf Ltd,26/09/2024,279.88
ENVS - Environmental Services,CAC - Parks & Cemeteries,Buriel Services,1,CRINV0004782,James O Garnett Ltd,26/09/2024,"1,680.00"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Buriel Services,1,CRINV0004784,James O Garnett Ltd,26/09/2024,"2,880.00"
ENVS - Environmental Services,CAF - CVMU,Parts,1,CRINV0004844,Aebi Schmidt Uk Ltd,26/09/2024,773.65
ENVS - Environmental Services,CAF - CVMU,Vehicle repairs ,1,CRINV0004849,Terberg Matec Uk,26/09/2024,250.91
ENVS - Environmental Services,CAB - Other Environmental Services,Hire of vehicle 2.9.24-4.9.24,1,CRINV0004952,Stanley Brothers (Tippers) Ltd,26/09/2024,"1,296.00"
REGN - Regeneration & Housing,FAD - Housing Advice,Hotel Accommodation ,1,CRINV0005011,Molesworth Hotel,26/09/2024,"2,654.40"
REGN - Regeneration & Housing,FAD - Housing Advice,Hotel Accommodation ,1,CRINV0005014,Molesworth Hotel,26/09/2024,"5,505.60"
ENVS - Environmental Services,CAC - Parks & Cemeteries,Job advert ,1,CRINV0005053,Think Publishing Ltd,26/09/2024,480.00
RESO - Resources,AAB - Benefits & Customer Contact,Vat & Non VAT Disbursements,1,CRINV0005102,Greenhalgh Kerr,26/09/2024,"1,408.40"
RESO - Resources,AAB - Benefits & Customer Contact,VAT disbursements,1,CRINV0005104,Greenhalgh Kerr,26/09/2024,8.40
RESO - Resources,AAB - Benefits & Customer Contact,VAT disbursements,2,CRINV0005104,Greenhalgh Kerr,26/09/2024,306.00
RESO - Resources,AAB - Benefits & Customer Contact,Non-VAT disbursements,3,CRINV0005104,Greenhalgh Kerr,26/09/2024,84.66
RESO - Resources,AAD - ICT,IT Disposal/Collection,1,CRINV0005112,Middleton Asset Management Limited,26/09/2024,312.00
RESO - Resources,AAD - ICT,DNS Services - Call off Charges - Community Charges,1,CRINV0005114,Nominet Uk,26/09/2024,388.06
RESO - Resources,AAF - Finance,Tariff due Sep 2024,1,CRINV0005140,(DD ONLY) Ribble Valley Borough Council,26/09/2024,"403,260.00"
ENVH - Environmental Health,BAB - Environmental Protection,Advert,1,CRINV0005155,Chartered Inst. Of Environmental Health,26/09/2024,"1,140.00"
ENVH - Environmental Health,BAB - Environmental Protection,Job listings/advertising,1,CRINV0005192,Chartered Inst. Of Environmental Health,26/09/2024,960.00
RESO - Resources,AAF - Finance,BRR & RSG September 24,1,CRINV0005196,"(DD) Department of Levelling Up, Housing & Comm...",26/09/2024,"161,412.00-"
RESO - Resources,AAF - Finance,BRR & RSG Central Share September 24,2,CRINV0005196,"(DD) Department of Levelling Up, Housing & Comm...",26/09/2024,"938,611.00"
RESO - Resources,AAF - Finance,BRR & RSG Top Up September 24,3,CRINV0005196,"(DD) Department of Levelling Up, Housing & Comm...",26/09/2024,"1,043.00-"
RESO - Resources,AAF - Finance,BRR & RSG TR Payments September 24,4,CRINV0005196,"(DD) Department of Levelling Up, Housing & Comm...",26/09/2024,"79,699.00-"
RESO - Resources,AAF - Finance,BRR & RSG Surplus for 23-24 September 24,5,CRINV0005196,"(DD) Department of Levelling Up, Housing & Comm...",26/09/2024,"222,951.00"
RESO - Resources,AAF - Finance,BRR & RSG Surplus for 22-23 September 24,6,CRINV0005196,"(DD) Department of Levelling Up, Housing & Comm...",26/09/2024,"152,183.00-"
RESO - Resources,AAB - Benefits & Customer Contact,AB Postage,1,CRINV0005197,Critiqom,26/09/2024,109.17
RESO - Resources,AAB - Benefits & Customer Contact,AB Postage,2,CRINV0005197,Critiqom,26/09/2024,664.42
PLAN - Planning & Transportation,EAB - Engineers & Transportation,Works to Barrier at Willows Lane,1,CRINV0005212,Steven Mercer Electrical Contractors Limited,26/09/2024,"1,476.00"
RESO - Resources,AAD - ICT," 1 x 100Mb Circuit Annual Rental 01/10/2024 - 30/09/2025
1 x G Circuit Scaitcliffe House, BB5 0DW to Accrington Cemetery, BB5 6HA - Pro-rata Rental 26/10/202",1,CRPOI0004783,The Networking People (TNP) Ltd,26/09/2024,"8,516.27"
ENVS - Environmental Services,CAC - Parks & Cemeteries,FS 131 Strimmer,1,CRPOI0005200,Dick Leigh LLP,26/09/2024,674.25
ENVS - Environmental Services,CAC - Parks & Cemeteries,FS 411C Strimmer,2,CRPOI0005200,Dick Leigh LLP,26/09/2024,831.75
ENVS - Environmental Services,CAC - Parks & Cemeteries,2 x Straps ,3,CRPOI0005200,Dick Leigh LLP,26/09/2024,52.02
