Service Cost Centre,Account Detail,Description,HBC ref no,Name,Payment Date,Net Amount (£)
Willows Lane Depot,Asset Maint R&M,WILLOWS LANE STORES JUNE 2023,B000024194/68680,H S L Compliance,31 July 2023,31.00
Administration Expenses,Printing,COPIER CHARGES,B000024196/999,Sharp Business Systems Uk Plc,31 July 2023,306.86
Markets - Operations,Cleaning Materials,CLEANING MATERIALS MARKETS,B000024201/666,"Bubbles, Brushes & Wiper Co Ltd",31 July 2023,292.25
Cvmu,Materials-Direct,BUMPER AND WING,B000024202/1164,Dennis Eagle Limited,31 July 2023,454.99
Accrington Crematorium,Medical Referee Fees,MEDICAL REFERENCES,B000024206/7171,Peel House Medical Practice,31 July 2023,"5,360.00"
Development Control B.U.,Advertising,JOB LISTING IN RICS,B000024214/60319,We Are Sunday Ltd,31 July 2023,882.00
Development Control B.U.,Advertising,JOB LISTING IN CABE JOBS,B000024214/62354,Redactive Publishing Ltd,31 July 2023,885.00
Library St Depot,Water Charges,WATER CHARGES CVMU 07.06.23-06.07.23,B000024216/8325,Water Plus Ltd,31 July 2023,375.67
Parks & Open Spaces,Private Contractors Work,TREE WORK,B000024217/22189,Roy Cattermole (Tree Surgeon),31 July 2023,400.00
Underspends Bids,Private Contractors Work,TREE WORK,B000024217/22189,Roy Cattermole (Tree Surgeon),31 July 2023,300.00
Hyndburn Cemeteries,Agency Staff,AGENCY STAFF W/C 10.07.23,B000024218/19414,Proman Supply Chain Ltd,31 July 2023,"1,153.06"
Hyndburn Cemeteries,Agency Staff,AGENCY STAFF  W/C 19.06.23,B000024218/19414,Proman Supply Chain Ltd,31 July 2023,467.16
Hyndburn Cemeteries,Agency Staff,AGENCY STAFF  W/C 3.7.23,B000024218/19414,Proman Supply Chain Ltd,31 July 2023,588.68
Accrington Town Centre,Event Expenditure,ADVERT FOR LATE SUMMER EVENTS,B000024218/61918,Pro Digital Media & Event Management Ltd,31 July 2023,495.00
Cemetery Welfare & Depot Fac,Contractor Other,PART PAYMENT FOR DEPOT BUILD,B000024218/7524,Ross Lee Construction Ltd,31 July 2023,"77,647.20"
Acc Town Hall,Cleaning Of Buildings,BROADWAY CLEANING- 1ST- 31ST JULY,B000024219/29112,Hyndburn Leisure,31 July 2023,"1,095.03"
Computer Services,Cyber Security,TESTING (PSN) INTERNAL 7 DAYS EXTERNAL 4 DAYS,B000024219/29231,Claranet Limited,31 July 2023,"9,495.00"
Computer Services,Telephones, CHARGES 01/07/23 - 31/07/23,B000024219/46800,Cloudcoco Limited,31 July 2023,"1,520.95"
Market Chambers - Luf,Consultants Fees,VALUATION FEES,B000024219/66574,Cbre Ltd,31 July 2023,"4,185.50"
Computer Services,Rental & Maint Software Misc,AMMUAL MAINTENANCE/ LICENCE 01/07/23 - 30/06/24,B000024219/67715,Victoria Solutions Ltd,31 July 2023,"6,268.00"
Parks & Open Spaces,Agency Staff,AGENCY STAFF  W/C 10.7.23,B000024221/19414,Proman Supply Chain Ltd,31 July 2023,"2,284.44"
Parks & Open Spaces,Agency Staff,AGENCY STAFF W/C 12.6.23,B000024221/19414,Proman Supply Chain Ltd,31 July 2023,"1,550.39"
Parks & Open Spaces,Agency Staff,AGENCY STAFF  W/C 15.05.23,B000024221/19414,Proman Supply Chain Ltd,31 July 2023,668.95
Parks & Open Spaces,Agency Staff,AGENCY STAFF  W/C 22.5.23,B000024221/19414,Proman Supply Chain Ltd,31 July 2023,613.86
Parks & Open Spaces,Agency Staff,AGENCY STAFF  W/C 26.6.23,B000024221/19414,Proman Supply Chain Ltd,31 July 2023,"1,416.60"
Parks & Open Spaces,Agency Staff,AGENCY STAFF  W/C 29.5.23,B000024221/19414,Proman Supply Chain Ltd,31 July 2023,"1,282.81"
Parks & Open Spaces,Agency Staff,AGENCY STAFF  W/C 3.7.23,B000024221/19414,Proman Supply Chain Ltd,31 July 2023,"1,762.88"
Parks & Open Spaces,Agency Staff,AGENCY STAFF  W/C 5.6.23,B000024221/19414,Proman Supply Chain Ltd,31 July 2023,"1,629.09"
Parks & Open Spaces,Agency Staff,AGENCY STAFF  W/C 8.5.23,B000024221/19414,Proman Supply Chain Ltd,31 July 2023,881.44
Parks & Open Spaces,Agency Staff,AGENCY STAFF W/C 19.6.23,B000024221/19414,Proman Supply Chain Ltd,31 July 2023,"1,495.30"
Willows Lane Depot,Cleaning Materials,PADLOCK FOR COMPOUND,B000024221/68706,Replacementkeys,31 July 2023,232.84
Dev Control,Fees-Analysts & Consultants,SERVICE LEVEL AGREEMENTS 23/24,B000024222/2496,Lancashire County Council,31 July 2023,"2,304.00"
Registration Of Electors,Document Management,IER PRINT RUN,B000024222/62168,Civica Election Services,31 July 2023,"1,282.70"
Market Chambers - Luf,Consultants Fees,MARKET CHAMBERS BUSINESS PLAN,B000024222/65816,Bradshaw Advisary Ltd,31 July 2023,"7,750.00"
